@attribute eigen093 numeric
@attribute eigen094 numeric
@attribute eigen095 numeric
@attribute eigen096 numeric
@attribute eigen097 numeric
@attribute eigen098 numeric
@attribute eigen099 numeric
@attribute eigen100 numeric
@attribute eigen101 numeric
@attribute beautiful {true, false}

@data

-7707.544526,-2820.522908,-496.208789,-628.404321,-1403.131615,484.110285,-446.739993,398.707564,-798.645730,-150.862122,765.446682,190.736829,-631.951299,-273.965400,510.884317,708.700183,232.223100,349.521037,-141.300670,-278.349434,429.853697,66.287278,-609.343116,446.170366,-37.838796,774.946723,320.130497,-306.844421,25.216674,513.262730,-391.983739,203.178290,24.866096,-560.135662,562.360082,-811.621319,-204.622216,444.491984,-762.146437,-184.147604,387.064565,621.913849,110.229940,-121.577622,18.629933,199.904239,203.952335,-134.206612,363.592533,-369.942337,46.713066,-853.087508,-350.530261,-166.418724,-146.556368,-80.406083,160.174760,149.763051,269.324416,-389.380276,324.752841,589.702801,0.765839,-31.190641,125.919642,-230.312325,51.811886,-49.256380,233.028434,543.151539,48.924968,711.719065,174.500593,42.930706,587.296934,-3.622402,-263.837135,173.074585,-47.542646,7.208507,-0.939555,209.920945,104.811959,0.429699,218.961076,-90.830211,104.032193,209.643699,238.044720,238.352391,17.293337,165.322987,69.485068,33.978486,6.269362,133.989376,94.226881,127.015881,26.591150,-86.157557,58.659704,-0.000000,false
2765.504824,4665.471214,-728.459929,-4886.022222,-28.661829,2560.201659,246.659406,-1619.761736,1210.130732,2050.855742,733.789672,-161.100073,-1332.480309,2170.200782,1092.199880,906.996801,1082.710368,1913.244704,322.436385,-142.421182,893.524927,-22.348105,-1187.171441,792.643112,1075.594822,-519.869534,-452.860605,-101.761131,707.432525,1178.367600,-213.648139,-308.322598,189.658818,300.071260,-487.522895,154.699405,10.706548,67.676474,578.307704,163.703290,-265.422694,156.450649,-176.876158,-270.789386,-463.915394,-140.637922,12.898895,-113.570766,-361.625434,-62.294290,-344.418673,-17.884338,238.688707,-396.722262,53.823721,-71.418046,127.416306,10.402841,161.255654,4.160752,-69.811468,-158.465749,74.432523,119.220643,-163.523758,77.916688,150.950793,-35.544255,93.353513,-114.189770,106.541465,87.340469,20.883687,-83.502975,67.055096,86.220692,159.602394,38.986622,125.489996,149.432507,-152.364476,-85.572453,18.664269,12.873224,19.739942,-185.808784,38.393799,-28.913030,-34.888194,-38.827881,-38.086700,56.511468,2.002925,-43.090050,-57.671529,-8.168635,-92.870254,-50.804888,6.886350,-74.707241,4.058273,0.000000,false
3081.692419,2130.395801,3899.327298,-163.399891,2236.792971,331.524047,-2732.600651,-988.246200,616.026569,-1625.923233,213.049739,429.644579,-346.403988,-681.890531,-959.069012,356.442409,-436.920903,1170.593361,-256.824076,-1172.000995,449.698538,181.114961,182.705294,-1690.007684,-280.558183,-11.157256,654.266998,698.292822,450.105468,212.272708,331.663917,-318.490308,-531.322715,15.859136,-217.642837,-796.453541,395.769766,-228.412060,646.986343,-240.869785,294.904022,-560.504648,84.440824,46.090196,-243.943172,186.326236,181.775467,453.265122,6.635996,168.201820,-179.851255,-332.413036,245.834104,179.671377,-187.526779,-314.610405,23.722423,-574.153028,32.256339,93.473040,-2.561470,-12.010608,627.380761,164.054773,-324.906060,122.991907,103.229839,245.836803,95.400585,255.281969,114.184025,365.295404,149.911620,64.463291,-54.353668,167.387015,-123.053287,-193.174784,-6.305739,-138.425754,97.009527,24.066514,43.241060,-298.365296,246.632384,157.836445,107.859406,-217.454366,92.097028,-79.223844,-56.906081,80.702110,-119.520281,-222.592913,-69.131563,22.196389,-41.371621,-90.691693,21.330985,-27.590450,-53.903671,0.000000,false
-1882.674659,-771.716878,2933.608385,2109.231883,-858.033445,-129.837647,-243.779405,1067.074505,110.676740,-1670.821162,-485.539702,216.884258,-1182.597844,-55.756915,-191.712114,-1182.143340,145.030787,-386.870164,-271.646059,-949.950722,502.468663,-169.480383,-269.973273,-383.863984,499.918255,-1101.071928,-486.689854,-218.069632,347.976853,947.011261,146.746504,331.619122,-101.003248,-324.420755,415.724816,278.092702,258.524003,-232.461935,-532.875559,132.821772,293.675989,590.286407,266.133596,-561.438374,-196.093657,566.303024,438.610608,-449.865228,21.368859,-196.577841,-256.316750,287.605093,-192.344829,-87.835502,-120.220643,-208.568609,437.540883,-360.506298,-83.402042,-65.367393,364.648462,-439.772215,-66.932177,41.258750,356.082799,-329.999912,112.630092,-215.514427,-270.135339,-41.299592,251.331013,-332.321565,-29.231490,-300.402065,-684.994520,-94.507212,-246.940634,35.698754,-0.955798,461.697965,-28.646422,316.541884,24.966070,-0.413336,-35.240461,-144.761959,8.184938,-273.553567,78.322004,66.197566,145.499583,101.277159,92.566011,-123.592811,121.650885,24.934958,107.350719,18.753284,-133.440923,38.867010,-83.037965,-0.000000,false
-1104.406630,-4284.724204,1933.084683,-997.396951,-1250.193021,-340.534098,-588.992629,36.448455,-1503.554835,1119.264474,624.995562,-585.653652,47.628775,55.888699,-13.228203,-434.074545,338.742701,386.305625,-34.911433,-588.501656,-159.999080,446.089988,-182.559732,47.553965,-180.341920,-124.025330,66.349975,360.045264,280.771921,-274.105415,-72.901789,-440.439027,131.745534,316.661907,-24.007083,415.092987,-169.453094,182.472613,482.312274,-113.403488,-444.346828,-47.190646,-70.240305,347.341278,-62.320442,-578.275742,219.459120,-418.362777,128.679044,-321.638970,-16.483736,160.242859,-148.026702,555.470555,-106.911791,-138.130095,83.764663,-133.593722,-669.753668,-235.757982,44.258665,212.321160,214.814371,312.044657,448.544029,217.670253,298.275750,-355.269243,449.235380,591.617410,-361.904358,-372.958550,-100.229783,183.341650,-212.114237,61.232132,-251.735067,94.215511,403.506075,56.671625,295.848293,-205.403769,481.477093,-32.213749,-40.306453,253.435231,-265.217799,-40.875399,12.067803,-75.788178,-63.025793,408.701755,71.260370,266.894820,58.110118,84.515328,-266.550225,186.527935,-167.381280,-18.975382,-53.988855,0.000000,true
895.641605,-561.757408,5762.242578,1923.402896,3087.649055,119.328301,127.016826,-396.841117,-178.537348,1385.212984,-345.824299,557.220003,340.703508,525.210081,-265.903456,403.040461,-1009.542811,-262.819675,476.767070,478.545128,-367.118790,102.448583,18.446952,355.781682,108.690961,-98.413202,-75.394804,-594.403648,81.458990,215.060372,311.703711,238.585279,316.998813,213.757857,-257.345896,342.003645,18.949783,-295.842444,93.360950,343.963740,186.103657,45.087939,-188.205794,533.360124,235.410300,-199.951929,-113.346578,-81.870786,211.786467,-38.141126,50.778269,-507.714235,-85.046563,481.643357,85.506216,-57.406969,200.233013,-282.389304,-7.180217,-36.827553,-462.026253,-165.235937,-202.604772,-2.190878,207.586733,79.878305,136.680267,141.766746,47.398578,-201.718399,95.389954,-259.262601,-45.767845,703.009002,-36.097829,432.810189,-286.788685,585.238222,-220.454110,25.377630,-287.466931,17.847653,-111.390243,178.382875,446.532595,-224.973625,185.400377,215.272820,368.189195,198.497931,257.213227,252.521789,-8.852138,-224.511767,-43.293388,-212.744875,123.049192,-186.969323,-120.447251,-90.188028,-23.035524,-0.000000,true
-2529.158593,-2606.430277,2912.007976,-1062.558659,987.838296,1676.576131,-198.048252,-1230.233610,-163.469901,433.679203,463.166868,-339.089312,355.140282,-199.909664,414.428845,285.956385,-160.933216,-517.784280,-746.190842,-192.620515,-172.190447,-382.448364,-181.593263,-0.632050,208.434992,9.588002,-269.034950,-640.534402,46.594037,-89.967405,-24.731344,248.896376,-298.048307,312.666507,-249.120194,-220.437361,147.153748,-265.490841,-639.743926,108.817084,44.538488,236.978852,-292.327567,-37.497509,114.827380,-6.993000,-384.366464,5.674023,-222.488908,291.727207,72.633971,88.410443,17.412988,71.775308,62.917399,4.570970,-35.277657,55.698591,-112.213680,198.629650,45.038666,-24.064014,123.020361,-522.615494,199.546807,320.461342,496.613004,184.665957,41.171685,-104.544030,202.745577,194.525845,210.664492,158.054024,-249.804465,-40.175361,-87.775188,31.561151,85.243273,99.385057,-226.430541,118.451843,-136.629270,183.911945,361.558377,298.563225,50.351546,-340.537982,26.539749,217.877150,-322.481768,-506.382470,-249.688893,574.347271,-153.906367,458.095188,-320.222618,-1.563338,-124.079421,332.438290,50.355669,-0.000000,false
1320.311335,-1546.682336,331.684045,2137.101296,-194.108565,350.638099,706.907821,1693.229184,470.234028,207.432274,1200.897932,-1069.444047,-1302.362843,-448.419463,677.983551,616.380091,1785.273812,470.417842,388.211440,57.255168,-236.388666,-252.923076,-348.512915,-394.329612,-736.061397,-70.953138,123.194418,-464.572392,17.071277,-316.029470,427.995539,421.607266,95.721484,-145.334329,-650.939669,156.661400,396.151761,-410.829134,-200.708442,-654.668215,-399.863248,-192.236642,561.660451,425.140761,805.304374,-519.808533,276.591579,389.978412,-382.043635,-50.777625,110.505984,-828.383263,275.899674,92.854746,-216.897854,341.801662,57.387344,-669.814441,-350.888176,-158.868576,-129.927424,-48.840555,-298.483794,283.985669,-290.677474,-159.910737,168.165973,35.731552,-471.029753,-55.581338,-159.577674,-73.508282,-114.738964,-325.864178,182.460108,-122.613325,-89.764252,-208.199380,-250.506492,235.188443,-151.581628,81.777145,17.643386,172.840175,-27.609641,-160.034160,-345.508418,16.258057,82.439655,-39.685400,-118.433571,-155.166745,57.957934,4.543786,82.243185,60.307525,-17.441851,-28.354323,-143.853466,85.526832,54.041424,-0.000000,false
-2833.088590,1337.071178,862.004553,1564.360660,1621.892466,-1258.957755,407.091822,3064.195589,-27.774451,-241.121043,-442.158218,207.120999,280.681652,735.354396,700.810802,-583.598708,263.139556,867.806024,-724.182061,-320.623442,-281.998389,-865.310978,-1081.879610,246.987386,-798.467505,-453.039982,-688.786054,-12.500010,144.362640,-426.258103,-581.976416,599.867245,-596.349057,-851.742391,613.976074,240.631872,-1215.027378,494.926190,244.672113,-890.734085,155.677571,0.581207,54.322594,-296.686059,-159.639018,240.835889,-369.431976,486.783749,126.334471,-158.833450,-260.712122,205.104941,-27.300736,255.132859,582.429382,-188.134873,-48.184070,-270.475946,-74.615277,296.391534,-585.542853,72.223690,49.867428,200.445827,-250.694374,271.213848,-135.850567,40.808376,-17.044739,-66.355648,365.910414,-35.907962,204.350993,177.774058,71.892818,-147.252898,-129.176584,49.430452,128.994629,84.556711,246.496158,-437.302387,-2.412203,135.806715,115.549019,-70.603751,115.124175,7.980050,-64.156380,35.018301,-170.456248,-25.119085,26.126942,8.773757,-73.370394,3.298994,-29.334714,-75.965192,-24.409407,9.438607,23.396668,0.000000,true
-1870.484131,-739.068740,1322.066960,-2115.040499,1654.427259,-151.206722,1586.492577,964.201437,26.593345,-61.828380,-272.863601,-69.417447,314.989206,-225.551914,-527.888447,197.074814,500.604454,7.093157,-366.424662,-442.582456,369.099480,735.119263,39.530855,551.881935,-510.357056,-510.148022,333.814647,94.788012,762.314489,-619.239554,3.637724,612.129367,372.116032,-17.968503,1261.435143,299.066121,660.882455,259.665560,944.891145,171.112242,-216.669451,458.665901,378.915869,-146.823882,-435.789125,-323.559269,-701.610011,283.304694,-108.747302,89.317638,535.940831,218.348278,109.821798,-245.546526,42.279175,127.593432,-566.485146,90.990356,-318.023067,165.114868,448.233928,52.435604,389.744566,-10.811654,427.755732,8.996079,331.335934,327.712533,-155.245368,177.144968,158.199927,116.157342,-384.379442,-297.248313,125.947482,316.370999,-169.695106,-159.024440,-349.899228,102.278827,-437.500321,60.439967,-203.742236,-130.291885,15.842501,66.452536,44.819814,296.967635,-155.965772,160.927527,16.150724,15.297682,0.057330,-36.870134,84.089630,-88.553698,9.062303,-24.563849,-55.381001,-27.925266,-14.029197,0.000000,true
